"","city","country","district.abbreviation","district.display_name","district.key","district.year","end_date","event_code","event_type","key","name","start_date","state_prov","year"
"102","Torreón","Mexico",NA,NA,NA,NA,"2024-03-23","mxto",  0,"2024mxto","Regional Laguna presented by Peñoles","2024-03-20","Coah.",2024
"103","Asheville","USA",fnc,FIRST North Carolina,2024fnc,2024,"2024-03-17","ncash",  1,"2024ncash","FNC District UNC Asheville Event","2024-03-15","NC",2024
"104","Durham","USA",fnc,FIRST North Carolina,2024fnc,2024,"2024-04-07","nccmp",  2,"2024nccmp","FIRST North Carolina District State Championship","2024-04-05","NC",2024
"105","Charlotte","USA",fnc,FIRST North Carolina,2024fnc,2024,"2024-03-24","ncmec",  1,"2024ncmec","FNC District Mecklenburg County Event","2024-03-22","NC",2024
"106","Pembroke","USA",fnc,FIRST North Carolina,2024fnc,2024,"2024-03-10","ncpem",  1,"2024ncpem","FNC District UNC Pembroke Event","2024-03-08","NC",2024
"107","Durham","USA",fnc,FIRST North Carolina,2024fnc,2024,"2024-03-24","ncwa2",  1,"2024ncwa2","FNC District Wake County Event","2024-03-22","NC",2024
"108","Chapel Hill","USA",fnc,FIRST North Carolina,2024fnc,2024,"2024-03-03","ncwak",  1,"2024ncwak","FNC District Orange County Event","2024-03-01","NC",2024
"109","Grand Forks","USA",NA,NA,NA,NA,"2024-03-09","ndgf",  0,"2024ndgf","Great Northern Regional","2024-03-06","ND",2024
"110","West Springfield","USA",ne,New England,2024ne,2024,"2024-04-06","necmp",  2,"2024necmp","New England FIRST District Championship","2024-04-03","MA",2024
"111","Durham","USA",ne,New England,2024ne,2024,"2024-03-30","nhdur",  1,"2024nhdur","NE District UNH Event","2024-03-28","NH",2024
"112","Salem","USA",ne,New England,2024ne,2024,"2024-03-02","nhgrs",  1,"2024nhgrs","NE District Granite State Event","2024-02-29","NH",2024
"113","Allentown","USA",fma,FIRST Mid-Atlantic,2024fma,2024,"2024-03-10","njall",  1,"2024njall","FMA District Allentown Event","2024-03-08","NJ",2024
"114","Flanders","USA",fma,FIRST Mid-Atlantic,2024fma,2024,"2024-03-03","njfla",  1,"2024njfla","FMA District Mount Olive Event","2024-03-01","NJ",2024
"115","Skillman","USA",fma,FIRST Mid-Atlantic,2024fma,2024,"2024-03-17","njski",  1,"2024njski","FMA District Montgomery Event","2024-03-15","NJ",2024
"116","Tabernacle","USA",fma,FIRST Mid-Atlantic,2024fma,2024,"2024-03-10","njtab",  1,"2024njtab","FMA District Seneca Event","2024-03-08","NJ",2024
